vaci,caci,chl,fsd,tsd,quality,alc,,
0.26,0.68,0.085,10,25,LOW,11.8,,
0.66,0.7,0.098,25,129,LOW,9,,
0.315,0.54,0.084,5,15,HIGH,9.2,,
0.29,0.4,0.098,10,26,LOW,9.7,,
0.5,0.42,0.069,21,51,HIGH,11.5,,
0.46,0.45,0.065,7,18,HIGH,14,,
0.36,0.69,0.09,6,21,HIGH,9.2,,
0.82,0.02,0.07,36,48,LOW,9.8,,
0.32,0.65,0.093,15,47,LOW,10.6,,
0.54,0.42,0.081,25,52,HIGH,11.4,,
0.37,0.55,0.083,25,68,HIGH,10.4,,
0.35,0.55,0.062,5,14,LOW,10.6,,
0.28,0.51,0.08,10,24,HIGH,9.4,,
0.68,0.24,0.087,5,28,LOW,10.2,,
0.27,0.41,0.091,6,16,LOW,9.7,,
0.24,0.49,0.075,6,20,HIGH,11,,
0.68,0.24,0.087,5,28,LOW,10.2,,
0.685,0.11,0.077,6,31,HIGH,10.1,,
0.28,0.39,0.069,6,23,LOW,9.2,,
0.3,0.56,0.08,6,17,HIGH,11.7,,
0.36,0.59,0.152,6,18,LOW,9.4,,
0.36,0.6,0.152,7,18,LOW,9.4,,
0.44,0.68,0.114,6,24,HIGH,13.4,,
0.67,0.39,0.054,6,17,LOW,10,,
0.67,0.39,0.054,6,17,LOW,10,,
0.645,0.36,0.053,5,14,HIGH,10,,
0.32,0.55,0.081,35,67,HIGH,10.8,,
0.39,0.4,0.073,10,26,HIGH,10.2,,
0.775,0.27,0.078,24,56,HIGH,10.6,,
0.41,0.5,0.055,12,25,HIGH,13.3,,
0.4,0.51,0.052,13,27,HIGH,13.4,,
0.69,0.31,0.086,23,81,HIGH,11.6,,
0.39,0.23,0.051,28,91,HIGH,12.1,,
0.35,0.53,0.07,5,16,HIGH,11,,
0.52,0.25,0.081,14,38,HIGH,9,,
0.34,0.32,0.09,43,113,LOW,11.1,,
0.35,0.53,0.07,5,16,HIGH,11,,
0.69,0.31,0.086,23,81,HIGH,11.6,,
0.52,0.25,0.081,14,38,HIGH,9,,
0.44,0.73,0.074,38,76,HIGH,12,,
0.44,0.73,0.074,38,76,HIGH,12,,
0.26,0.47,0.078,6,24,HIGH,10.9,,
0.24,0.42,0.077,6,22,HIGH,10.8,,
0.49,0.63,0.072,10,26,HIGH,12.5,,
0.24,0.46,0.075,6,21,HIGH,10.8,,
0.67,0.55,0.084,6,13,HIGH,9.5,,
0.59,0.31,0.09,26,62,HIGH,10.2,,
0.29,0.75,0.084,23,43,HIGH,11.4,,
0.42,0.49,0.073,19,43,LOW,9.5,,
0.59,0.31,0.09,26,62,HIGH,10.2,,
0.4,0.48,0.125,15,49,HIGH,9.7,,
0.51,0.64,0.107,6,15,HIGH,11.8,,
0.51,0.64,0.107,6,15,HIGH,11.8,,
0.655,0.49,0.122,34,151,LOW,9.3,,
0.6,0.49,0.1,5,14,HIGH,11.9,,
0.61,0.49,0.2,5,16,LOW,8.4,,
0.21,0.49,0.088,11,32,HIGH,11.7,,
0.365,0.49,0.088,39,106,LOW,11,,
0.25,0.49,0.088,15,33,HIGH,10,,
0.41,0.49,0.088,16,43,LOW,9.1,,
0.39,0.49,0.099,47,133,LOW,9.8,,
0.4,0.49,0.085,38,142,LOW,9.4,,
0.43,0.49,0.086,23,116,LOW,9.5,,
0.64,0.24,0.105,29,53,LOW,9.9,,
0.365,0.49,0.088,39,106,LOW,11,,
0.38,0.49,0.097,33,85,HIGH,11.4,,
0.42,0.49,0.084,32,55,HIGH,8.7,,
0.63,0.24,0.077,6,33,LOW,9.4,,
0.22,0.24,0.078,1,28,HIGH,10.3,,
0.38,0.49,0.098,12,42,LOW,10.3,,
0.38,0.49,0.098,12,42,LOW,10.3,,
0.27,0.24,0.072,15,33,HIGH,12.8,,
0.48,0.24,0.102,13,32,HIGH,10,,
0.22,0.24,0.078,1,28,HIGH,10.3,,
0.63,0.24,0.077,6,33,LOW,9.4,,
0.825,0.24,0.084,5,13,HIGH,10.7,,
0.35,0.49,0.066,5,35,HIGH,12,,
0.5,0.74,0.1,5,17,LOW,11.2,,
0.59,0.24,0.101,20,47,LOW,9.6,,
0.46,0.49,0.064,5,17,HIGH,11,,
0.715,0.24,0.07,5,20,LOW,9.9,,
0.66,0.24,0.085,16,53,HIGH,11,,
0.31,0.74,0.075,6,15,HIGH,8.4,,
0.47,0.49,0.094,38,106,LOW,9.1,,
0.55,0.24,0.078,10,28,HIGH,9.5,,
0.31,0.49,0.067,6,21,HIGH,10.7,,
0.35,0.49,0.079,27,69,HIGH,10.4,,
0.53,0.49,0.171,6,25,HIGH,9.4,,
0.51,0.01,0.074,9,25,HIGH,9.5,,
0.43,0.24,0.092,14,45,HIGH,10,,
0.46,0.24,0.092,14,44,HIGH,10,,
1.04,0.24,0.05,32,96,LOW,11.5,,
0.645,0.49,0.095,10,23,LOW,11.1,,
0.645,0.49,0.095,10,23,LOW,11.1,,
0.53,0.49,0.118,10,17,HIGH,11.7,,
0.645,0.49,0.095,10,23,LOW,11.1,,
0.53,0.49,0.118,10,17,HIGH,11.7,,
0.47,0.49,0.085,6,47,HIGH,12.7,,
0.6,0.49,0.075,5,19,LOW,11.4,,
0.44,0.49,0.078,26,121,LOW,9.2,,
0.54,0.49,0.094,41,110,LOW,9.2,,
0.29,0.49,0.092,25,60,HIGH,10.1,,
0.47,0.49,0.085,6,47,HIGH,12.7,,
0.6,0.49,0.075,5,19,LOW,11.4,,
0.7,0.24,0.226,5,15,HIGH,9,,
0.7,0.24,0.226,5,15,HIGH,9,,
0.5,0.49,0.25,5,20,HIGH,10.7,,
0.36,0.24,0.095,19,42,HIGH,11.7,,
0.35,0.49,0.07,10,37,HIGH,11,,
0.36,0.24,0.095,19,42,HIGH,11.7,,
0.24,0.49,0.075,10,28,LOW,10.4,,
0.59,0.49,0.07,14,47,LOW,9.6,,
0.34,0.49,0.078,20,78,HIGH,10,,
0.27,0.49,0.079,28,46,HIGH,10.2,,
0.5,0.24,0.103,6,14,LOW,10,,
0.44,0.49,0.083,18,111,LOW,9.5,,
0.47,0.49,0.085,17,110,LOW,9.8,,
0.31,0.49,0.063,18,40,HIGH,9.8,,
0.5,0.49,0.089,5,14,LOW,9.6,,
0.5,0.49,0.089,5,14,LOW,9.6,,
0.49,0.49,0.083,5,15,LOW,9.2,,
0.28,0.49,0.074,10,21,HIGH,9.9,,
0.33,0.49,0.093,54,80,HIGH,10.7,,
0.51,0.24,0.091,8,38,HIGH,9.6,,
0.31,0.49,0.094,16,47,HIGH,10.6,,
0.73,0.24,0.108,18,102,LOW,9.3,,
0.42,0.24,0.06,19,50,HIGH,14,,
0.29,0.49,0.059,5,13,HIGH,10.5,,
0.45,0.49,0.084,21,75,LOW,9.7,,
0.39,0.49,0.07,23,149,HIGH,11.5,,
0.45,0.49,0.084,21,75,LOW,9.7,,
0.49,0.58,0.094,9,43,LOW,9,,
0.72,0.17,0.096,20,38,LOW,9.5,,
0.595,0.41,0.086,30,109,LOW,9.3,,
0.4,0.51,0.059,6,24,HIGH,9.3,,
0.58,0.58,0.071,5,18,HIGH,10,,
0.585,0.18,0.078,5,30,HIGH,9.8,,
0.59,0.45,0.082,11,22,HIGH,9.3,,
0.915,0.27,0.088,7,23,LOW,10,,
0.46,0.52,0.071,12,35,HIGH,9,,
0.835,0,0.081,6,14,LOW,9.3,,
0.46,0.52,0.071,12,35,HIGH,9,,
0.58,0.13,0.096,14,63,HIGH,9.1,,
0.6,0.13,0.085,6,24,HIGH,9.2,,
0.41,0.48,0.072,10,20,HIGH,12.2,,
0.48,0.41,0.092,26,52,HIGH,10.5,,
0.65,0.37,0.11,11,65,HIGH,10.4,,
0.36,0.19,0.075,15,39,HIGH,12.7,,
0.24,0.54,0.083,25,57,LOW,9.2,,
0.38,0.55,0.081,5,16,LOW,9.4,,
0.64,0,0.077,18,29,HIGH,10,,
0.39,0.38,0.058,10,29,LOW,9.8,,
0.755,0.18,0.148,10,103,HIGH,10.2,,
0.6,0.5,0.079,28,71,LOW,9.7,,
0.6,0.5,0.079,28,71,LOW,9.7,,
0.31,0.51,0.079,14,28,HIGH,9.8,,
0.46,0.5,0.122,4,17,LOW,10.2,,
0.37,0.41,0.088,6,16,LOW,9.3,,
0.54,0.24,0.076,16,112,LOW,9.4,,
0.56,0.23,0.078,14,104,LOW,9.4,,
0.58,0.22,0.08,9,32,LOW,9.5,,
0.51,0.25,0.077,21,45,HIGH,12.1,,
0.69,0,0.124,21,58,LOW,10.2,,
0.69,0,0.124,21,58,LOW,10.2,,
0.6,0.29,0.098,5,15,LOW,9.1,,
0.6,0.29,0.098,5,15,LOW,9.1,,
0.54,0.26,0.097,7,31,HIGH,9.3,,
0.685,0.23,0.111,20,84,LOW,9.3,,
0.54,0.26,0.097,7,31,HIGH,9.3,,
0.28,0.54,0.105,5,19,LOW,9.5,,
0.41,0.14,0.087,21,43,HIGH,10.5,,
0.935,0.22,0.105,11,86,LOW,11.3,,
0.35,0.21,0.073,46,102,LOW,9.5,,
0.84,0,0.065,24,33,LOW,9.7,,
0.88,0.28,0.086,30,147,LOW,9.4,,
0.885,0.27,0.084,31,145,LOW,9.4,,
0.915,0.12,0.143,7,23,HIGH,10.2,,
0.29,0.35,0.067,25,57,HIGH,10.3,,
0.54,0.45,0.071,16,40,LOW,9.4,,
0.59,0.44,0.071,21,68,LOW,9.5,,
0.54,0.45,0.071,16,40,LOW,9.4,,
0.59,0.44,0.071,21,68,LOW,9.5,,
0.54,0.45,0.071,16,40,LOW,9.4,,
0.64,0.1,0.115,5,11,HIGH,10.1,,
0.67,0.05,0.107,6,20,LOW,10.1,,
0.845,0.01,0.07,5,14,LOW,11,,
0.48,0.3,0.066,10,28,HIGH,11.2,,
0.42,0.27,0.068,24,148,HIGH,11.3,,
0.43,0.39,0.106,8,32,LOW,9.6,,
0.88,0.25,0.104,35,155,LOW,11.2,,
0.36,0.65,0.096,22,71,LOW,14.9,,
0.33,0.59,0.079,9,30,HIGH,12,,
0.47,0.47,0.074,7,29,LOW,9.5,,
0.55,0.17,0.087,20,53,LOW,9.4,,
0.43,0.39,0.106,8,32,LOW,9.6,,
0.5,0.59,0.073,23,42,HIGH,10.5,,
0.52,0.07,0.074,5,20,HIGH,9.6,,
0.84,0.02,0.096,5,13,LOW,11,,
0.52,0.07,0.074,5,20,HIGH,9.6,,
0.42,0.31,0.08,15,42,LOW,9,,
0.57,0.06,0.076,9,27,HIGH,9.6,,
0.28,0.46,0.05,5,13,HIGH,10.2,,
0.4,0.52,0.092,15,54,LOW,10.2,,
0.59,0.14,0.084,25,48,LOW,9.7,,
0.49,0.36,0.222,6,16,HIGH,9.5,,
0.34,0.45,0.082,6,15,HIGH,9.2,,
0.73,0.43,0.059,15,31,LOW,11,,
0.34,0.45,0.082,6,15,HIGH,9.2,,
0.4,0.24,0.083,30,45,LOW,10,,
0.73,0.21,0.074,5,13,LOW,9.5,,
1.24,0.34,0.079,32,151,LOW,9.5,,
0.73,0.21,0.074,5,13,LOW,9.5,,
0.4,0.41,0.084,7,17,HIGH,9.3,,
0.41,0.39,0.064,12,31,LOW,10.2,,
0.4,0.41,0.084,7,17,HIGH,9.3,,
0.8,0.11,0.084,12,31,LOW,9.9,,
0.78,0.1,0.081,45,87,LOW,10,,
0.26,0.45,0.06,20,49,LOW,9.6,,
0.43,0.58,0.07,15,40,LOW,9,,
0.45,0.23,0.094,16,29,HIGH,10.2,,
0.46,0.31,0.078,32,58,LOW,9.8,,
0.78,0.23,0.059,5,15,LOW,11.3,,
0.98,0.32,0.078,35,152,LOW,9.4,,
0.78,0.23,0.059,5,15,LOW,11.3,,
0.65,0.18,0.07,13,40,LOW,9.1,,
0.64,0.23,0.095,13,38,LOW,9.7,,
0.66,0.04,0.039,4,9,LOW,9.4,,
0.38,0.48,0.157,5,17,LOW,9.4,,
1.185,0,0.097,5,14,LOW,10.7,,
0.92,0.24,0.087,12,93,LOW,9.8,,
0.49,0.51,0.422,16,62,LOW,9,,
0.48,0.32,0.084,21,122,LOW,9.4,,
0.47,0.31,0.084,24,125,LOW,9.4,,
0.47,0.02,0.034,18,44,HIGH,12.8,,
0.65,0.02,0.066,8,25,HIGH,9.5,,
0.65,0.02,0.066,8,25,HIGH,9.5,,
0.615,0.28,0.087,18,72,LOW,9.7,,
0.38,0.55,0.071,5,19,HIGH,10.8,,
1.02,0.43,0.076,26,88,HIGH,10.1,,
0.65,0.02,0.066,8,25,HIGH,9.5,,
0.64,0.02,0.067,9,23,HIGH,9.4,,
0.38,0.48,0.073,22,84,LOW,9.6,,
0.765,0.04,0.078,4,14,LOW,9.7,,
1.035,0.15,0.073,11,54,LOW,9.9,,
0.78,0.08,0.093,10,19,LOW,10,,
0.49,0.19,0.077,16,37,LOW,10.5,,
0.545,0.12,0.068,11,35,HIGH,11.6,,
0.31,0.47,0.062,13,33,HIGH,10,,
1.025,0.43,0.08,21,84,LOW,10.1,,
0.565,0.34,0.093,16,112,LOW,9.5,,
0.69,0,0.084,13,33,LOW,9.4,,
0.43,0.36,0.075,10,48,LOW,9.4,,
0.74,0.28,0.078,21,77,LOW,9.8,,
0.49,0.18,0.069,13,34,HIGH,9.2,,
0.43,0.36,0.075,10,48,LOW,9.4,,
0.46,0.11,0.079,12,49,LOW,10,,
0.56,0.04,0.082,10,22,LOW,9.6,,
0.66,0,0.086,17,45,LOW,9.5,,
0.56,0.04,0.082,10,22,LOW,9.6,,
0.48,0.24,0.094,35,106,LOW,9.2,,
0.42,0.08,0.084,15,48,LOW,10,,
0.31,0.3,0.053,36,127,LOW,9.5,,
1.115,0.1,0.086,5,12,LOW,11.2,,
0.66,0.17,0.077,5,13,LOW,10.4,,
0.72,0.09,0.084,18,49,HIGH,11.1,,
0.57,0.02,0.067,4,11,LOW,9.5,,
0.57,0.02,0.067,4,11,LOW,9.5,,
0.865,0.03,0.071,27,58,HIGH,12.7,,
0.55,0.66,0.387,12,37,LOW,9.6,,
0.875,0.13,0.088,4,14,LOW,11.5,,
0.835,0.03,0.092,10,19,LOW,9.6,,
0.45,0.34,0.082,16,72,LOW,9.5,,
0.56,0.2,0.075,9,39,LOW,9.3,,
0.965,0.1,0.112,11,22,LOW,9.5,,
0.965,0.1,0.112,11,22,LOW,9.5,,
0.59,0,0.093,19,58,HIGH,9.3,,
0.46,0.23,0.092,28,104,LOW,9.2,,
0.69,0,0.088,19,38,LOW,9.3,,
0.76,0.29,0.075,12,16,HIGH,11.5,,
0.53,0.24,0.078,28,139,LOW,9.5,,
0.615,0,0.065,9,18,LOW,9.2,,
0.41,0.58,0.096,25,101,LOW,10,,
0.39,0.54,0.095,21,101,LOW,9.5,,
0.51,0.18,0.07,12,28,HIGH,9.5,,
0.34,0.38,0.08,12,57,HIGH,9,,
0.33,0.4,0.083,16,68,LOW,9.4,,
0.5,0.18,0.071,12,31,HIGH,9.6,,
0.51,0.18,0.07,12,28,HIGH,9.5,,
0.65,0.1,0.089,17,40,LOW,9.5,,
0.65,0.1,0.089,17,40,LOW,9.5,,
0.54,0.13,0.097,24,66,LOW,9.4,,
0.65,0.1,0.089,17,40,LOW,9.5,,
0.48,0.68,0.415,14,32,HIGH,9.1,,
0.91,0.07,0.058,22,47,HIGH,10.7,,
0.98,0.01,0.057,15,33,HIGH,11.2,,
0.87,0,0.084,10,31,LOW,9.8,,
0.87,0,0.084,10,31,LOW,9.8,,
0.42,0.21,0.092,33,88,LOW,9.2,,
0.58,0.25,0.075,9,104,LOW,9.7,,
0.655,0.26,0.096,5,35,LOW,9.6,,
0.7,0,0.069,8,19,HIGH,10,,
0.655,0.26,0.096,5,35,LOW,9.6,,
0.68,0.11,0.093,11,44,HIGH,9.5,,
0.67,0.1,0.091,12,48,HIGH,9.5,,
0.59,0.18,0.089,12,74,LOW,9.4,,
0.6,0.32,0.103,13,98,LOW,9.5,,
0.59,0.02,0.082,24,94,HIGH,9.7,,
0.72,0.01,0.076,7,32,LOW,9.6,,
0.59,0.02,0.082,24,94,HIGH,9.7,,
0.685,0.26,0.082,23,143,LOW,9.4,,
0.57,0.27,0.082,23,144,LOW,9.4,,
0.4,0.29,0.157,1,44,HIGH,9.5,,
0.4,0.3,0.157,2,45,HIGH,9.5,,
1,0,0.102,7,16,LOW,10,,
0.765,0.18,0.243,5.5,48,HIGH,10.3,,
0.635,0.17,0.241,6,18,HIGH,10.3,,
0.43,0.3,0.079,7,34,LOW,10.5,,
0.52,0.03,0.076,21,92,LOW,9.8,,
0.57,0,0.19,12,45,HIGH,9.4,,
0.46,0.14,0.114,9,37,LOW,9.8,,
0.82,0.05,0.081,26,96,LOW,10,,
0.46,0.14,0.114,9,37,LOW,9.8,,
0.59,0.01,0.077,20,85,LOW,9.8,,
0.35,0.41,0.083,11,61,LOW,9.5,,
0.35,0.41,0.083,11,61,LOW,9.5,,
0.56,0.24,0.079,19,58,HIGH,10.1,,
0.56,0.24,0.079,19,58,HIGH,10.1,,
0.63,0.17,0.099,21,119,LOW,9.3,,
0.37,0.43,0.082,18,82,HIGH,9.7,,
0.64,0.17,0.084,25,130,LOW,9.6,,
0.61,0.02,0.081,17,87,HIGH,9.7,,
0.6,0,0.055,7,13,LOW,10.8,,
0.27,0.54,0.065,7,26,HIGH,12.5,,
0.89,0.3,0.132,7,60,LOW,10.2,,
0.46,0.31,0.126,24,64,LOW,9.6,,
0.37,0.44,0.038,21,42,HIGH,10.8,,
0.5,0.34,0.082,5,14,HIGH,10.7,,
0.5,0.34,0.082,5,14,HIGH,10.7,,
0.61,0.08,0.082,26,108,LOW,9.4,,
0.55,0.09,0.068,8,17,LOW,10,,
0.585,0,0.044,14,86,HIGH,12.9,,
0.56,0.08,0.114,14,46,HIGH,9.6,,
0.52,0.22,0.084,4,18,HIGH,9.9,,
0.28,0.4,0.052,4,10,HIGH,12.8,,
0.25,0.39,0.041,4,10,HIGH,12.5,,
0.28,0.4,0.052,4,10,HIGH,12.8,,
0.53,0.12,0.165,4,12,LOW,9.2,,
0.48,0.31,0.07,4,15,HIGH,10.3,,
0.49,0.1,0.068,4,14,LOW,10.5,,
0.5,0.55,0.072,7,24,HIGH,10.9,,
0.45,0.33,0.099,20,38,LOW,10.8,,
0.39,0.24,0.102,4,7,LOW,11.4,,
0.41,0.54,0.103,19,41,HIGH,11.3,,
0.45,0.33,0.099,20,38,LOW,10.8,,
0.51,0.19,0.081,8,30,HIGH,10.5,,
0.29,0.42,0.084,19,27,HIGH,11.9,,
0.715,0,0.071,21,47,LOW,9.4,,
0.66,0.15,0.097,9,59,LOW,9.6,,
0.685,0,0.099,9,22,LOW,9.7,,
0.42,0,0.048,16,42,HIGH,14,,
0.54,0.13,0.076,15,36,LOW,9.8,,
0.54,0.13,0.076,15,36,LOW,9.8,,
0.48,0.28,0.068,6,16,LOW,10.3,,
0.46,0.14,0.076,15,37,LOW,10.7,,
0.27,0.34,0.05,4,8,HIGH,11,,
0.46,0.14,0.076,15,37,LOW,10.7,,
0.57,0.09,0.065,34,45,HIGH,12.7,,
0.61,0.08,0.071,16,24,HIGH,11.1,,
0.685,0.07,0.058,5,9,LOW,10.9,,
0.61,0.08,0.071,16,24,HIGH,11.1,,
